date,open,high,low,close,price_change
2019-07-22,0.89246,0.89689,0.892,0.89237,0.108818
2019-07-23,0.89678,0.89847,0.8964,0.89676,0.491948
2019-07-24,0.89748,0.90059,0.8939,0.89747,0.0791739
2019-07-25,0.89725,0.89963,0.8966,0.89717,-0.0334273
2019-07-28,0.8984,0.89973,0.8973,0.8983,0.125952
2019-07-29,0.89749,0.89821,0.89621,0.89742,-0.0979628
2019-07-30,0.89627,0.89865,0.8957,0.89622,-0.133717
2019-07-31,0.90316,0.90682,0.9031,0.9032,0.778827
2019-08-01,0.90238,0.90328,0.89975,0.90262,-0.0642161
2019-08-04,0.9003,0.9003,0.8929,0.90025,-0.262569
2019-08-05,0.88947,0.8952,0.88891,0.88938,-1.20744
2019-08-06,0.89239,0.89438,0.8896,0.8923,0.328319
2019-08-07,0.89247,0.8941,0.8906,0.89251,0.0235347
2019-08-08,0.89387,0.89413,0.89128,0.89388,0.1535
2019-08-11,0.89231,0.89579,0.89045,0.89218,-0.190182
2019-08-12,0.8914,0.8946,0.89061,0.8914,-0.0874263
2019-08-13,0.89465,0.89767,0.89358,0.89469,0.369082
2019-08-14,0.89726,0.90126,0.89614,0.8974,0.302898
2019-08-15,0.89998,0.90355,0.8998,0.8998,0.267439
2019-08-18,0.9014,0.90186,0.90009,0.9014,0.177817
2019-08-19,0.90232,0.90343,0.90098,0.90227,0.0965165
2019-08-20,0.90102,0.90181,0.9003,0.90108,-0.13189
2019-08-21,0.90168,0.90379,0.89977,0.90165,0.0632574
2019-08-22,0.90226,0.90473,0.89694,0.9022,0.0609993
2019-08-25,0.89742,0.90022,0.89666,0.89742,-0.529816
2019-08-26,0.90081,0.90181,0.8994,0.9006,0.354349
2019-08-27,0.90171,0.90298,0.9009,0.90171,0.123251
2019-08-28,0.90209,0.90447,0.9017,0.90205,0.0377061
2019-08-29,0.90419,0.91015,0.90408,0.904,0.216174
2019-09-01,0.90984,0.91251,0.9093,0.90977,0.638274
2019-09-02,0.9118,0.91488,0.91097,0.9117,0.212142
2019-09-03,0.91128,0.91135,0.90621,0.9112,-0.0548426
2019-09-04,0.906,0.90758,0.9023,0.90621,-0.547629
2019-09-05,0.9061,0.90734,0.90437,0.9061,-0.0121385
2019-09-08,0.90738,0.90776,0.90373,0.90739,0.142368
2019-09-09,0.9052,0.90647,0.9042,0.90511,-0.25127
2019-09-10,0.905,0.91023,0.9043,0.90495,-0.0176774
2019-09-11,0.9079,0.91495,0.90273,0.90798,0.334825
2019-09-12,0.90435,0.90435,0.90016,0.9043,-0.405295
2019-09-15,0.90219,0.90951,0.90218,0.90225,-0.226695
2019-09-16,0.90876,0.90968,0.9035,0.9086,0.703796
